SITE,BAG_ID,ARTIFACT_ID,LAYER,LOCUS,SQUARE,RAW_MATERIAL,CORTEX,PATINA,BURNED,GENERAL_PHOTO,MACRO_PHOTO,MICRO_PHOTO,3D_SCAN,WEAR1_MARKS_TYPE,WEAR1_LOCATION,WEAR1_STRIATION,WEAR1_POLISH_MESH,WEAR1_MARKS_DIRECTION,WEAR1_WORKED_MATERIAL_HARDNESS,WEAR1_WORKED_MATERIAL_TYPE,WEAR2,WEAR2_MARKS_TYPE,WEAR2_LOCATION,WEAR2_STRIATION,WEAR2_POLISH_MESH,WEAR2_POLISH_DIRECTION,WEAR2_WORKED_MATERIAL_HARDNESS,WEAR2_WORKED_MATERIAL_TYPE,WEAR3,WEAR3_MARKS_TYPE,WEAR3_LOCATION,WEAR3_STRIATION,WEAR3_POLISH_MESH,WEAR3_POLISH_DIRECTION,WEAR3_WORKED_MATERIAL_HARDNESS,WEAR3_WORKED_MATERIAL_TYPE,WEAR4_,WEAR4_MARKS_TYPE,WEAR4_LOCATION,WEAR4_STRIATION,WEAR4_POLISH_MESH,WEAR4_POLISH_DIRECTION,WEAR4_WORKED_MATERIAL_HARDNESS,WEAR4_WORKED_MATERIAL_TYPE,TOOL_MICRO-WEAR_PRESERVATION,TOOL_MEVEMENT,VISBLE_RESIDUES,TYPOLOGY,OBSERVATIONS,MACROTYPE,MICROTYPE
FaraII,,?,,,,Flint,25%,light-patination,No,No,No,No,No,Polish,A1,,Na,NA,NA,NA,yes,Polish,A1,,Na,NA,NA,NA,no,,,,,,,,,,,,,,,,1,NA,yes,Anvil,,,
FaraII,,41,LF,,N12,Limestone,25%,none,No,Yes,Yes,Yes,Yes,Striation,A5,Parallel,,,Hard,NA,no,,,,,,,,,,,,,,,,,,,,,,,,2,NA,no,Undifined,long and deep engraving,2,
FaraII,,83,LF,,R14C,Limestone,100%,none,No,Yes,Yes,Yes,No,Impact,A1,Parallel,,,Hard,Mineral,yes,Impact,A9,,,,Hard,Mineral,yes,Impact,B1,,,,Hard,Mineral,no,,,,,,,,2,grinding,no,Hammerstone,many impacts grinding?? Cruching?,2,
FaraII,,,,,M13d,Limestone,100%,light-patination,No,Yes,No,No,No,Impact,A1,Parallel,,,Hard,Mineral,yes,Impact,A1,,,,Hard,Mineral,yes,Impact,B1,,,,Hard,Mineral,yes,Impact,B9,,,,Hard,Mineral,2,knaping,no,Hammerstone,many impacts,2,
FaraII,,16,,,M10B,Limestone,50%,none,No,Yes,No,No,No,Impact,A6,Parallel,,,Hard,Mineral,no,Impact,A1,,,,Hard,Mineral,yes,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Undifined,Flake?,2,
FaraII,,42,,,L12,Limestone,50%,light-patination,No,Yes,No,No,No,Impact,A5,Parallel,,,Hard,Mineral,yes,Impact,A8,,,,Hard,Mineral,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Hammerstone,reffiting,2,
FaraII,,37,LF,,M12d,Limestone,50%,light-patination,No,Yes,No,No,Yes,Impact,A5,Parallel,,,Hard,Mineral,no,Impact,A8,,,,Hard,Mineral,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,knaping,no,Hammerstone,,2,
FaraII,,35,LF,,L11d,Limestone,50%,light-patination,No,Yes,Yes,Yes,Yes,Impact,A5,Parallel,,,Hard,Mineral,no,Impact,A8,,,,Hard,Mineral,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Undifined,,2,
FaraII,,16,,,M12d,Other,0%,none,No,Yes,Yes,Yes,Yes,Polish&Striation,A5,NA,Na,NA,NA,Unrecognized,no,Impact,A8,,,,Hard,Mineral,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,grinding,no,Undifined,polish???,,
FaraII,,20,,,09a,Other,0%,none,Yes,Yes,Yes,Yes,Yes,Polish&Striation,A5,NA,Na,NA,NA,Unrecognized,no,Impact,A8,,,,Hard,Mineral,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,grinding,no,Undifined,,,
FaraII,,72,,,?-15,Limestone,100%,none,No,Yes,Yes,Yes,Yes,Polish&Striation,A1,NA,Na,NA,NA,Unrecognized,yes,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Undifined,,,
FaraII,,87,,,N15,Other,25%,none,No,Yes,Yes,Yes,Yes,Polish&Striation,A2,NA,Na,NA,NA,Unrecognized,no,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,yes,Chopper,polish?? fibers??,,
FaraII,,180,,,N15d,Limestone,50%,none,No,Yes,No,No,No,Impact,A5,NA,Na,NA,Hard,NA,no,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Hammerstone,,2,
FaraII,,101,,,O15,Limestone,100%,none,No,Yes,No,No,No,Impact,A1,NA,Na,NA,Semi-hard,NA,no,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Undifined,,1,
FaraII,,7,LF,,P10c,Limestone,50%,none,No,Yes,Yes,Yes,No,Impact,A3,NA,Na,NA,NA,NA,no,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Anvil,braked anvil?,,
FaraII,,8,LF,,P10c,Limestone,50%,none,No,Yes,Yes,Yes,No,Polish,A3,NA,Na,NA,NA,NA,no,Impact,A2,,,,NA,NA,no,Impact,A5,,,,Hard,Mineral,no,Impact,B9,,,,Hard,Mineral,2,NA,no,Anvil,braked anvil? polish?refit-c/7,,
Nesher Ramla,8273,8273,5,,,Limestone,100%,none,No,No,No,No,Yes,Impact,A2,,,,Semi-hard,NA,no,,,,,,,,,,,,,,,,,,,,,,,,2,breaking,no,Hammerstone,,1,
Nesher Ramla,1593,1593,5,37,,Limestone,100%,none,No,No,No,No,Yes,Impact,A9,,,,Hard,NA,no,,,,,,,,,,,,,,,,,,,,,,,,2,breaking,no,Hammerstone,,2,
Nesher Ramla,5904,5904,5,,,Limestone,100%,none,No,Yes,Yes,Yes,Yes,Polish,A2,,Open,NA,NA,NA,no,,,,,,,,,,,,,,,,,,,,,,,,2,NA,no,Undifined,,,D
Nesher Ramla,1830,1830,5,37,,Limestone,100%,none,No,No,No,No,Yes,Impact,A2,,Open,NA,Semi-hard,NA,no,,,,,,,,,,,,,,,,,,,,,,,,2,breaking,no,Hammerstone,,1,
