site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,112,112,5,37,L20,Limestone,Pebble,small_breakage,71.61,65.28,47.92,364,yes,tip,pecking,2,no,Hammerstone,,
Nesher Ramla,8010,8010,5,59,M16,Limestone,Pebble,broken,84.61,64.05,55.48,411,no,,,,no,Manuport,,
Nesher Ramla,5350,8350,5,45,O15,Flint,Pebble,complete,45.8,41.15,29.89,91,yes,central,pecking,1,no,Hammerstone,,
Nesher Ramla,51,51,5,37,L19,Limestone,Pebble,complete,79.72,72.41,47.95,394,no,,,,no,Manuport,,
Nesher Ramla,52,52,5,37A,,Limestone,Pebble,small_breakage,66.34,58.14,26.57,186,no,,,,no,Anvil,,
Nesher Ramla,8723,8723,5,,,Limestone,Pebble,complete,62.35,53.63,41.58,182,yes,tip,pecking,1,yes,Undefined,8723.jpg,possible ochre
Nesher Ramla,4340,4340,5,,,Limestone,Pebble,complete,90.32,63.61,55.06,448,yes,tip,mix,2,yes,Hammerstone,,
Nesher Ramla,8719,8719,5,,,Limestone,Pebble,complete,89.22,62.59,52.91,429,yes,tip,polish,1,yes,Undefined,,flint ship stuck
Nesher Ramla,5520,5520,5,45,,Limestone,Pebble,broken,81.62,72.67,54.38,413,no,,,,no,Natural,,
Nesher Ramla,8718,8718,5,,,Flint,Pebble,complete,48.57,38.8,33.3,91,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,1804,1804,5,37,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,381,381,5,37,,Limestone,Pebble,complete,114.92,89.73,64.1,961,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,8579,8579,5,58b,,Limestone,Pebble,complete,58.15,36.69,29.79,87,no,,,,no,Manuport,,
Nesher Ramla,8661,8661,5,,,Limestone,Pebble,complete,74.16,57.04,37.59,226,no,,,,no,Manuport,,
Nesher Ramla,8731,8731,5,45b,,Limestone,Pebble,complete,60.79,50.65,32.95,146,no,,,,no,Manuport,,
Nesher Ramla,8743,8743,5,,,Limestone,Pebble,complete,85.41,71.75,59.13,429,no,,,,no,Manuport,,
Nesher Ramla,8743,8743-1,5,,,Limestone,Pebble,complete,75.04,62.18,46.89,345,yes,tip,pecking,,yes,Hammerstone,,part burned?
Nesher Ramla,8743,8743-2,5,,,Limestone,Pebble,complete,75.51,59.61,33.54,229,no,,,,no,Manuport,,
Nesher Ramla,8743,8743-3,5,,,Limestone,Pebble,complete,74.37,71.42,53.35,425,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8499,8499,5,58,,Limestone,Pebble,complete,57.15,53.56,45.81,188,no,,,,no,Manuport,,
Nesher Ramla,1200,1200,5,37,,Limestone,Pebble,small_breakage,59.81,50.75,33.69,184,no,,,,no,Manuport,,
Nesher Ramla,631,631,5,37,,Limestone,Pebble,small_breakage,67.73,59.3,42.58,243,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8545,8545-1,5,,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8845,8845,5,,,Flint,Pebble,complete,64.98,56.96,53.98,274,no,,,,no,Manuport,,
Nesher Ramla,8613,8613,5,45,,Limestone,Pebble,complete,72.1,60.16,38.82,256,no,,,,no,Manuport,,
Nesher Ramla,8509,8509,5,52,,Limestone,Pebble,broken,60.11,36.13,36.98,108,no,,,,no,Undefined,,
Nesher Ramla,5540,5540,5,45,,Limestone,Pebble,complete,62.23,59.47,51.71,294,no,,,,no,Manuport,,
Nesher Ramla,8519,8519,5,58,,Limestone,Pebble,complete,63.58,57.72,48.1,265,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6921,6921,5,,,Limestone,Pebble,complete,79.72,65.29,51.07,451,no,,,,no,Manuport,,
Nesher Ramla,5990,5990,5,45,,Limestone,Pebble,small_breakage,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,1231,1231,5,37,,Limestone,Pebble,broken,58.61,34.64,40.16,111,no,,,,no,Undefined,,
Nesher Ramla,5898,5898,5,,,Limestone,Pebble,complete,56.65,47.2,42.5,184,no,,,,no,Manuport,,
Nesher Ramla,8517,8517,5,58,,Limestone,Pebble,broken,82.83,54.94,37.72,198,no,,,,no,Undefined,,
Nesher Ramla,8517,8517-2,5,58,,Limestone,Pebble,complete,53.22,38.96,32.49,87,no,,,,no,Manuport,,
Nesher Ramla,8517,8517-1,5,59,,Limestone,Pebble,complete,59.36,48.75,37.91,146,no,,,,no,Manuport,,
Nesher Ramla,8402,8402,5,45,,Limestone,Pebble,complete,73.99,55.35,42.62,265,yes,tip,polish,1,yes,Undefined,,yellow pigment??
Nesher Ramla,8519,8519,5,58,,Limestone,Pebble,complete,0,0,0,0,yes,both,mix,2,yes,Undefined,,
Nesher Ramla,8501,8501,5,58,,Limestone,Pebble,complete,74.17,63.3,56.36,366,yes,central,pecking,1,no,Hammerstone,,
Nesher Ramla,8501,8501-1,5,58,,Limestone,Pebble,complete,52.56,39.45,29.98,83,no,,,,no,Manuport,,
Nesher Ramla,8501,8501-2,5,58,,Limestone,Pebble,broken,74.23,30.96,48.38,150,no,,,,yes,Undefined,,
Nesher Ramla,7931,7931,5,59,,Limestone,Pebble,complete,63.98,53.27,44.75,213,yes,tip,polish,1,yes,Undefined,,
Nesher Ramla,5083,5083,5,37,,Limestone,Pebble,broken,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1140,1140,5,,,Limestone,block,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8501,8501,5,,,Limestone,Pebble,complete,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,8727,8727,5,45b,,Limestone,Pebble,broken,0,0,0,0,no,,,,no,Natural,,
Nesher Ramla,8727,8724-1,5,,,Limestone,Pebble,complete,83.52,67.01,47.75,362,no,,,,no,Manuport,,
Nesher Ramla,8599,8599,5,,,Limestone,Pebble,complete,57.81,57.31,43.56,202,no,,,,no,Manuport,,
